season,date,home_team,away_team,home_score,away_score,sky_match_id,slug
2009-10,,Wales,Italy,33,10,36033,wales-vs-italy
2009-10,,Ireland,Scotland,20,23,35236,ireland-vs-scotland
2009-10,,France,England,12,10,36180,france-vs-england
2009-10,,France,Italy,46,20,35770,france-vs-italy
2009-10,,Ireland,Wales,27,12,35855,ireland-vs-wales
2009-10,,Scotland,England,15,15,35299,scotland-vs-england
2009-10,,Italy,Scotland,16,12,36471,italy-vs-scotland
2009-10,,England,Ireland,16,20,36388,england-vs-ireland
2009-10,,Wales,France,20,26,35920,wales-vs-france
2009-10,,Italy,England,12,17,35719,italy-vs-england
2009-10,,Wales,Scotland,31,24,35436,wales-vs-scotland
2009-10,,France,Ireland,33,10,35258,france-vs-ireland
2009-10,,Scotland,France,9,18,36247,scotland-vs-france
2009-10,,Ireland,Italy,29,11,36385,ireland-vs-italy
2009-10,,England,Wales,30,17,35713,england-vs-wales
2010-11,,Scotland,Italy,21,8,43182,scotland-vs-italy
2010-11,,Ireland,England,24,8,42516,ireland-vs-england
2010-11,,France,Wales,28,9,42615,france-vs-wales
2010-11,,England,Scotland,22,16,42327,england-vs-scotland
2010-11,,Italy,France,22,21,42890,italy-vs-france
2010-11,,Wales,Ireland,19,13,42861,wales-vs-ireland
2010-11,,Scotland,Ireland,18,21,43554,scotland-vs-ireland
2010-11,,Italy,Wales,16,24,43432,italy-vs-wales
2010-11,,England,France,17,9,42764,england-vs-france
2010-11,,Ireland,France,22,25,43685,ireland-vs-france
2010-11,,England,Italy,59,13,42407,england-vs-italy
2010-11,,Scotland,Wales,6,24,43076,scotland-vs-wales
2010-11,,Italy,Ireland,11,13,43078,italy-vs-ireland
2010-11,,France,Scotland,34,21,42641,france-vs-scotland
2010-11,,Wales,England,19,26,42842,wales-vs-england
2011-12,,Italy,Scotland,13,6,50674,italy-vs-scotland
2011-12,,Wales,France,16,9,49736,wales-vs-france
2011-12,,England,Ireland,30,9,49693,england-vs-ireland
2011-12,,France,England,22,24,50113,france-vs-england
2011-12,,Wales,Italy,24,3,50716,wales-vs-italy
2011-12,,Ireland,Scotland,32,14,50667,ireland-vs-scotland
2011-12,,France,Ireland,17,17,52289,france-vs-ireland
2011-12,,Scotland,France,17,23,50170,scotland-vs-france
2011-12,,Ireland,Italy,42,10,50349,ireland-vs-italy
2011-12,,England,Wales,12,19,49649,england-vs-wales
2011-12,,Wales,Scotland,27,13,50078,wales-vs-scotland
2011-12,,Italy,England,15,19,49947,italy-vs-england
2011-12,,Ireland,Wales,21,23,50630,ireland-vs-wales
2011-12,,France,Italy,30,12,50213,france-vs-italy
2011-12,,Scotland,England,6,13,49936,scotland-vs-england
2012-13,,Italy,Ireland,22,15,56278,italy-vs-ireland
2012-13,,Wales,England,30,3,56282,wales-vs-england
2012-13,,France,Scotland,23,16,56283,france-vs-scotland
2012-13,,England,Italy,18,11,56279,england-vs-italy
2012-13,,Scotland,Wales,18,28,56280,scotland-vs-wales
2012-13,,Ireland,France,13,13,56281,ireland-vs-france
2012-13,,Scotland,Ireland,12,8,56277,scotland-vs-ireland
2012-13,,Italy,Wales,9,26,56275,italy-vs-wales
2012-13,,England,France,23,13,56276,england-vs-france
2012-13,,Ireland,England,6,12,56274,ireland-vs-england
2012-13,,Scotland,Italy,34,10,56272,scotland-vs-italy
2012-13,,France,Wales,6,16,56273,france-vs-wales
2012-13,,Italy,France,23,18,56271,italy-vs-france
2012-13,,Wales,Ireland,22,30,56269,wales-vs-ireland
2012-13,,England,Scotland,38,18,56270,england-vs-scotland
2013-14,,Italy,England,11,52,59409,italy-vs-england
2013-14,,Wales,Scotland,51,3,59410,wales-vs-scotland
2013-14,,France,Ireland,20,22,59408,france-vs-ireland
2013-14,,England,Wales,29,18,59407,england-vs-wales
2013-14,,Ireland,Italy,46,7,59403,ireland-vs-italy
2013-14,,Scotland,France,17,19,59406,scotland-vs-france
2013-14,,Italy,Scotland,20,21,59404,italy-vs-scotland
2013-14,,England,Ireland,13,10,59405,england-vs-ireland
2013-14,,Wales,France,27,6,59402,wales-vs-france
2013-14,,France,Italy,30,10,59401,france-vs-italy
2013-14,,Ireland,Wales,26,3,59397,ireland-vs-wales
2013-14,,Scotland,England,0,20,59400,scotland-vs-england
2013-14,,Ireland,Scotland,28,6,59392,ireland-vs-scotland
2013-14,,Wales,Italy,23,15,59399,wales-vs-italy
2013-14,,France,England,26,24,59398,france-vs-england
2014-15,,Italy,Wales,20,61,68744,italy-vs-wales
2014-15,,Scotland,Ireland,10,40,68745,scotland-vs-ireland
2014-15,,England,France,55,35,68746,england-vs-france
2014-15,,Italy,France,0,29,68741,italy-vs-france
2014-15,,Wales,Ireland,23,16,68742,wales-vs-ireland
2014-15,,England,Scotland,25,13,68743,england-vs-scotland
2014-15,,Ireland,England,19,9,68738,ireland-vs-england
2014-15,,Scotland,Italy,19,22,68739,scotland-vs-italy
2014-15,,France,Wales,13,20,68740,france-vs-wales
2014-15,,Scotland,Wales,23,26,68737,scotland-vs-wales
2014-15,,England,Italy,47,17,68733,england-vs-italy
2014-15,,Ireland,France,18,11,68736,ireland-vs-france
2014-15,,Italy,Ireland,3,26,68734,italy-vs-ireland
2014-15,,France,Scotland,15,8,68735,france-vs-scotland
2014-15,,Wales,England,16,21,68732,wales-vs-england
2015-16,,Wales,Italy,67,14,74964,wales-vs-italy
2015-16,,Ireland,Scotland,35,25,74965,ireland-vs-scotland
2015-16,,France,England,21,31,74966,france-vs-england
2015-16,,Scotland,France,29,18,74963,scotland-vs-france
2015-16,,Ireland,Italy,58,15,74961,ireland-vs-italy
2015-16,,England,Wales,25,21,74962,england-vs-wales
2015-16,,Italy,Scotland,20,36,74959,italy-vs-scotland
2015-16,,England,Ireland,21,10,74960,england-vs-ireland
2015-16,,Wales,France,19,10,74958,wales-vs-france
2015-16,,Italy,England,9,40,74957,italy-vs-england
2015-16,,France,Ireland,10,9,74955,france-vs-ireland
2015-16,,Wales,Scotland,27,23,74956,wales-vs-scotland
2015-16,,Ireland,Wales,16,16,74954,ireland-vs-wales
2015-16,,France,Italy,23,21,74952,france-vs-italy
2015-16,,Scotland,England,9,15,74953,scotland-vs-england
2016-17,,Scotland,Italy,29,0,77816,scotland-vs-italy
2016-17,,France,Wales,20,18,77817,france-vs-wales
2016-17,,Ireland,England,13,9,77818,ireland-vs-england
2016-17,,Italy,France,18,40,77814,italy-vs-france
2016-17,,England,Scotland,61,21,77815,england-vs-scotland
2016-17,,Wales,Ireland,22,9,77813,wales-vs-ireland
2016-17,,England,Italy,36,15,77812,england-vs-italy
2016-17,,Scotland,Wales,29,13,77810,scotland-vs-wales
2016-17,,Ireland,France,19,9,77811,ireland-vs-france
2016-17,,France,Scotland,22,16,77809,france-vs-scotland
2016-17,,Italy,Ireland,10,63,77807,italy-vs-ireland
2016-17,,Wales,England,16,21,77808,wales-vs-england
2016-17,,Italy,Wales,7,33,77806,italy-vs-wales
2016-17,,Scotland,Ireland,27,22,77804,scotland-vs-ireland
2016-17,,England,France,19,16,77805,england-vs-france
2017-18,,Italy,Scotland,27,29,81926,italy-vs-scotland
2017-18,,England,Ireland,15,24,81927,england-vs-ireland
2017-18,,Wales,France,14,13,81928,wales-vs-france
2017-18,,Wales,Italy,38,14,81925,wales-vs-italy
2017-18,,Ireland,Scotland,28,8,81923,ireland-vs-scotland
2017-18,,France,England,22,16,81924,france-vs-england
2017-18,,Ireland,Wales,37,27,81921,ireland-vs-wales
2017-18,,Scotland,England,25,13,81922,scotland-vs-england
2017-18,,France,Italy,34,17,81920,france-vs-italy
2017-18,,Scotland,France,32,26,81919,scotland-vs-france
2017-18,,Ireland,Italy,56,19,81917,ireland-vs-italy
2017-18,,England,Wales,12,6,81918,england-vs-wales
2017-18,,Italy,England,15,46,81916,italy-vs-england
2017-18,,Wales,Scotland,34,7,81914,wales-vs-scotland
2017-18,,France,Ireland,13,15,81915,france-vs-ireland
2018-19,,Italy,France,14,25,87094,italy-vs-france
2018-19,,Wales,Ireland,25,7,87095,wales-vs-ireland
2018-19,,England,Scotland,38,38,87096,england-vs-scotland
2018-19,,Ireland,France,26,14,87093,ireland-vs-france
2018-19,,Scotland,Wales,11,18,87091,scotland-vs-wales
2018-19,,England,Italy,57,14,87092,england-vs-italy
2018-19,,Italy,Ireland,16,26,87090,italy-vs-ireland
2018-19,,France,Scotland,27,10,87088,france-vs-scotland
2018-19,,Wales,England,21,13,87089,wales-vs-england
2018-19,,England,France,44,8,87087,england-vs-france
2018-19,,Scotland,Ireland,13,22,87085,scotland-vs-ireland
2018-19,,Italy,Wales,15,26,87086,italy-vs-wales
2018-19,,Scotland,Italy,33,20,87083,scotland-vs-italy
2018-19,,Ireland,England,20,32,87084,ireland-vs-england
2018-19,,France,Wales,19,24,87082,france-vs-wales
2019-20,,Wales,Scotland,10,14,96528,wales-vs-scotland
2019-20,,Italy,England,5,34,96529,italy-vs-england
2019-20,,France,Ireland,35,27,96530,france-vs-ireland
2019-20,,Ireland,Italy,50,17,96527,ireland-vs-italy
2019-20,,Scotland,France,28,17,91509,scotland-vs-france
2019-20,,England,Wales,33,30,91508,england-vs-wales
2019-20,,England,Ireland,24,12,91506,england-vs-ireland
2019-20,,Italy,Scotland,0,17,91504,italy-vs-scotland
2019-20,,Wales,France,23,27,91505,wales-vs-france
2019-20,,France,Italy,35,22,91503,france-vs-italy
2019-20,,Ireland,Wales,24,14,91501,ireland-vs-wales
2019-20,,Scotland,England,6,13,91502,scotland-vs-england
2019-20,,France,England,24,17,91500,france-vs-england
2019-20,,Wales,Italy,42,0,91498,wales-vs-italy
2019-20,,Ireland,Scotland,19,12,91499,ireland-vs-scotland
2020-21,,France,Scotland,23,27,97976,france-vs-scotland
2020-21,,Scotland,Italy,52,10,97527,scotland-vs-italy
2020-21,,Ireland,England,32,18,97528,ireland-vs-england
2020-21,,France,Wales,32,30,97530,france-vs-wales
2020-21,,Scotland,Ireland,24,27,97526,scotland-vs-ireland
2020-21,,Italy,Wales,7,48,97524,italy-vs-wales
2020-21,,England,France,23,20,97525,england-vs-france
2020-21,,Italy,Ireland,10,48,97521,italy-vs-ireland
2020-21,,Wales,England,40,24,97522,wales-vs-england
2020-21,,Ireland,France,13,15,97520,ireland-vs-france
2020-21,,England,Italy,41,18,97518,england-vs-italy
2020-21,,Scotland,Wales,24,25,97519,scotland-vs-wales
2020-21,,Wales,Ireland,21,16,97517,wales-vs-ireland
2020-21,,Italy,France,10,50,97515,italy-vs-france
2020-21,,England,Scotland,6,11,97516,england-vs-scotland
2023-24,,Wales,Italy,21,24,106472,wales-vs-italy
2023-24,,Ireland,Scotland,17,13,106473,ireland-vs-scotland
2023-24,,France,England,33,31,106474,france-vs-england
2023-24,,Wales,France,24,45,106471,wales-vs-france
2023-24,,Italy,Scotland,31,29,106469,italy-vs-scotland
2023-24,,England,Ireland,23,22,106470,england-vs-ireland
2023-24,,France,Italy,13,13,106468,france-vs-italy
2023-24,,Ireland,Wales,31,7,106466,ireland-vs-wales
2023-24,,Scotland,England,30,21,106467,scotland-vs-england
2023-24,,Ireland,Italy,36,0,106465,ireland-vs-italy
2023-24,,Scotland,France,16,20,106463,scotland-vs-france
2023-24,,England,Wales,16,14,106464,england-vs-wales
2023-24,,Italy,England,24,27,106461,italy-vs-england
2023-24,,Wales,Scotland,26,27,106462,wales-vs-scotland
2023-24,,France,Ireland,17,38,106460,france-vs-ireland
2023-24,,Scotland,Italy,26,14,102877,scotland-vs-italy
2023-24,,France,Wales,41,28,102878,france-vs-wales
2023-24,,Ireland,England,29,16,102879,ireland-vs-england
2023-24,,Scotland,Ireland,7,22,102876,scotland-vs-ireland
2023-24,,Italy,Wales,17,29,102874,italy-vs-wales
2023-24,,England,France,10,53,102875,england-vs-france
2023-24,,France,Scotland,32,21,102873,france-vs-scotland
2023-24,,Italy,Ireland,20,34,102871,italy-vs-ireland
2023-24,,Wales,England,10,20,102872,wales-vs-england
2023-24,,England,Italy,31,14,102870,england-vs-italy
2023-24,,Ireland,France,32,19,102868,ireland-vs-france
2023-24,,Scotland,Wales,35,7,102869,scotland-vs-wales
2023-24,,Italy,France,24,29,102867,italy-vs-france
2023-24,,Wales,Ireland,10,34,102865,wales-vs-ireland
2023-24,,England,Scotland,23,29,102866,england-vs-scotland
2023-24,,Wales,Italy,21,22,98100,wales-vs-italy
2023-24,,Ireland,Scotland,26,5,98101,ireland-vs-scotland
2023-24,,France,England,25,13,98099,france-vs-england
2023-24,,Italy,Scotland,22,33,98097,italy-vs-scotland
2023-24,,England,Ireland,15,32,98098,england-vs-ireland
2023-24,,Wales,France,9,13,98096,wales-vs-france
2023-24,,Ireland,Italy,57,6,98095,ireland-vs-italy
2023-24,,Scotland,France,17,36,98093,scotland-vs-france
2023-24,,England,Wales,23,19,98094,england-vs-wales
2023-24,,Italy,England,0,33,98092,italy-vs-england
2023-24,,Wales,Scotland,20,17,98090,wales-vs-scotland
2023-24,,France,Ireland,30,24,98091,france-vs-ireland
2023-24,,France,Italy,37,10,98089,france-vs-italy
2023-24,,Ireland,Wales,29,7,98087,ireland-vs-wales
2023-24,,Scotland,England,20,17,98088,scotland-vs-england
2024-25,,Italy,Ireland,17,22,108372,italy-vs-ireland
2024-25,,Wales,England,14,68,108373,wales-vs-england
2024-25,,France,Scotland,35,16,108374,france-vs-scotland
2024-25,,England,Italy,47,24,108371,england-vs-italy
2024-25,,Ireland,France,27,42,108369,ireland-vs-france
2024-25,,Scotland,Wales,35,29,108370,scotland-vs-wales
2024-25,,Italy,France,24,73,108368,italy-vs-france
2024-25,,Wales,Ireland,18,27,108366,wales-vs-ireland
2024-25,,England,Scotland,16,15,108367,england-vs-scotland
2024-25,,Scotland,Ireland,18,32,108365,scotland-vs-ireland
2024-25,,Italy,Wales,22,15,108363,italy-vs-wales
2024-25,,England,France,26,25,108364,england-vs-france
2024-25,,Scotland,Italy,31,19,108361,scotland-vs-italy
2024-25,,Ireland,England,27,22,108362,ireland-vs-england
2024-25,,France,Wales,43,0,108360,france-vs-wales
